==================== Running GPU test ====================
TF: 2.16.1
Visible GPUs: [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Built with CUDA?: True
OrderedDict({'cpu_compiler': '/usr/lib/llvm-17/bin/clang', 'cuda_compute_capabilities': ['sm_50', 'sm_60', 'sm_70', 'sm_80', 'compute_90'], 'cuda_version': '12.3', 'cudnn_version': '8', 'is_cuda_build': True, 'is_rocm_build': False, 'is_tensorrt_build': True})
libcuda.so.1 is loadable ✅




===== Processing Fold 6 =====


--- Tuning hyperparameters for Fold 6 ---


Fold: 6 | n_neurons: 16 | learning_rate: 0.01
Epoch 031 | loss=0.000919689308 | val_loss=nan | duration=7.14s | end_time=1760191920.30s
Epoch 032 | loss=0.000919689308 | val_loss=nan | duration=6.15s | end_time=1760191926.45s
Epoch 033 | loss=0.000919689308 | val_loss=nan | duration=6.13s | end_time=1760191932.58s
Epoch 034 | loss=0.000919689308 | val_loss=nan | duration=6.14s | end_time=1760191938.71s
Epoch 035 | loss=0.000919689308 | val_loss=nan | duration=6.05s | end_time=1760191944.76s
Epoch 036 | loss=0.000919689308 | val_loss=nan | duration=6.16s | end_time=1760191950.92s
Epoch 037 | loss=0.000919689308 | val_loss=nan | duration=6.12s | end_time=1760191957.04s
Epoch 038 | loss=0.000919689308 | val_loss=nan | duration=6.15s | end_time=1760191963.19s
Epoch 039 | loss=0.000919689308 | val_loss=nan | duration=6.19s | end_time=1760191969.38s
Epoch 040 | loss=0.000919689308 | val_loss=nan | duration=6.07s | end_time=1760191975.46s
Epoch 041 | loss=0.000919689308 | val_loss=nan | duration=6.19s | end_time=1760191981.65s
Epoch 042 | loss=0.000919689308 | val_loss=nan | duration=6.21s | end_time=1760191987.86s
Epoch 043 | loss=0.000919689308 | val_loss=nan | duration=6.75s | end_time=1760191994.61s
Epoch 044 | loss=0.000919689308 | val_loss=nan | duration=6.20s | end_time=1760192000.80s
Epoch 045 | loss=0.000919689308 | val_loss=nan | duration=7.00s | end_time=1760192007.81s
Epoch 046 | loss=0.000919689308 | val_loss=nan | duration=6.11s | end_time=1760192013.92s
Epoch 047 | loss=0.000919689308 | val_loss=nan | duration=6.76s | end_time=1760192020.68s
Epoch 048 | loss=0.000919689308 | val_loss=nan | duration=6.41s | end_time=1760192027.09s
Epoch 049 | loss=0.000919689308 | val_loss=nan | duration=7.45s | end_time=1760192034.54s
Epoch 050 | loss=0.000919689308 | val_loss=nan | duration=7.38s | end_time=1760192041.92s
