PERMNO,SecInfoStartDt,SecInfoEndDt,SecurityBegDt,SecurityEndDt,SecurityHdrFlg,HdrCUSIP,HdrCUSIP9,CUSIP,CUSIP9,PrimaryExch,ConditionalType,ExchangeTier,TradingStatusFlg,SecurityNm,ShareClass,USIncFlg,IssuerType,SecurityType,SecuritySubType,ShareType,SecurityActiveFlg,DelActionType,DelStatusType,DelReasonType,DelPaymentType,Ticker,TradingSymbol,PERMCO,SICCD,NAICS,ICBIndustry,NASDCompno,NASDIssuno,IssuerNm,YYYYMMDD,DlyCalDt,DlyDelFlg,DlyPrc,DlyPrcFlg,DlyCap,DlyCapFlg,DlyPrevPrc,DlyPrevPrcFlg,DlyPrevDt,DlyPrevCap,DlyPrevCapFlg,DlyRet,DlyRetx,DlyRetI,DlyRetMissFlg,DlyRetDurFlg,DlyOrdDivAmt,DlyNonOrdDivAmt,DlyFacPrc,DlyDistRetFlg,DlyVol,DlyClose,DlyLow,DlyHigh,DlyBid,DlyAsk,DlyOpen,DlyNumTrd,DlyMMCnt,DlyPrcVol,ShrStartDt,ShrEndDt,ShrOut,ShrSource,ShrFacType,ShrAdrFlg,DisExDt,DisSeqNbr,DisOrdinaryFlg,DisType,DisFreqType,DisPaymentType,DisDetailType,DisTaxType,DisOrigCurType,DisDivAmt,DisFacPr,DisFacShr,DisDeclareDt,DisRecordDt,DisPayDt,DisPERMNO,DisPERMCO,vwretd,vwretx,ewretd,ewretx,sprtrn
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20130422,2013-04-22,N,71.500000,TR,8824101.00,BP,71.180000,TR,2013-04-19,8784608.52,PB,0.004496,0.004496,0.000000,NA,D3,0.000000,0.000000,1.000000,NO,1055800,71.500000,70.850000,71.650000,71.500000,71.510000,71.320000,,,75489700.0,2013-03-28,2013-04-29,123414,OBS,NA,N,,,,,,,,,,,,,,,,,,0.004277,0.004261,0.003041,0.003005,0.004662
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20130423,2013-04-23,N,72.260000,TR,8917895.64,BP,71.500000,TR,2013-04-22,8824101.00,PB,0.010629,0.010629,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,1750000,72.260000,71.500000,72.300000,72.250000,72.260000,71.850000,,,126455000.0,2013-03-28,2013-04-29,123414,OBS,NA,N,,,,,,,,,,,,,,,,,,0.010143,0.010100,0.010404,0.010391,0.010419
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20130424,2013-04-24,N,72.280000,TR,8920363.92,BP,72.260000,TR,2013-04-23,8917895.64,PB,0.000277,0.000277,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,3551500,72.280000,72.130000,72.480000,72.280000,72.290000,72.260000,,,256702420.0,2013-03-28,2013-04-29,123414,OBS,NA,N,,,,,,,,,,,,,,,,,,0.002179,0.002089,0.004624,0.004598,0.000006
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20130425,2013-04-25,N,72.600000,TR,8959856.40,BP,72.280000,TR,2013-04-24,8920363.92,PB,0.004427,0.004427,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,600800,72.600000,72.390000,72.920000,72.580000,72.590000,72.490000,,,43618080.0,2013-03-28,2013-04-29,123414,OBS,NA,N,,,,,,,,,,,,,,,,,,0.004946,0.004886,0.006175,0.006126,0.004035
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20130426,2013-04-26,N,72.440000,TR,8940110.16,BP,72.600000,TR,2013-04-25,8959856.40,PB,-0.002204,-0.002204,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,519500,72.440000,72.220000,72.610000,72.450000,72.460000,72.480000,,,37632580.0,2013-03-28,2013-04-29,123414,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.002476,-0.002569,-0.002953,-0.003039,-0.001842
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20130429,2013-04-29,N,72.910000,TR,8998114.74,BP,72.440000,TR,2013-04-26,8940110.16,PB,0.006488,0.006488,0.000000,NA,D3,0.000000,0.000000,1.000000,NO,1038100,72.910000,72.540000,73.090100,72.920000,72.940000,72.650000,,,75687871.0,2013-03-28,2013-04-29,123414,OBS,NA,N,,,,,,,,,,,,,,,,,,0.007371,0.007319,0.006471,0.006424,0.007186
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20130430,2013-04-30,N,73.140000,TR,9030522.66,BP,72.910000,TR,2013-04-29,8998114.74,PB,0.003155,0.003155,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,976600,73.140000,72.630000,73.140000,73.110000,73.120000,72.930000,,,71428524.0,2013-04-30,2013-05-30,123469,OBS,NA,N,,,,,,,,,,,,,,,,,,0.004139,0.004127,0.003917,0.003885,0.002485
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20130501,2013-05-01,N,72.480000,TR,8949033.12,BP,73.140000,TR,2013-04-30,9030522.66,PB,-0.009024,-0.009024,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,924800,72.480000,72.390000,72.980000,72.470000,72.480000,72.960000,,,67029504.0,2013-04-30,2013-05-30,123469,OBS,NA,N,,,,,,,,,,,,,,,,,,-0.010607,-0.010762,-0.013124,-0.013293,-0.009308
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20130502,2013-05-02,N,73.130000,TR,9029287.97,BP,72.480000,TR,2013-05-01,8949033.12,PB,0.008968,0.008968,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,809300,73.130000,72.600000,73.200000,73.130000,73.150000,72.680000,,,59184109.0,2013-04-30,2013-05-30,123469,OBS,NA,N,,,,,,,,,,,,,,,,,,0.009484,0.009373,0.009199,0.009090,0.009408
12305,2010-09-09,2013-10-23,2010-09-09,2024-12-31,N,92290836,922908363,92290841,922908413,R,RW,N/A,A,VANGUARD INDEX FUNDS; ETFNONE; CONS,,Y,ACOR,FUND,ETF,NS,Y,N/A,UNAV,NACT,UNAV,VOO,VOO,41593,6726,525990,FINL,0,0,VANGUARD INDEX FUNDS,20130503,2013-05-03,N,73.820000,TR,9114481.58,BP,73.130000,TR,2013-05-02,9029287.97,PB,0.009435,0.009435,0.000000,NA,D1,0.000000,0.000000,1.000000,NO,951700,73.820000,73.750000,74.120000,73.880000,73.890000,73.790000,,,70254494.0,2013-04-30,2013-05-30,123469,OBS,NA,N,,,,,,,,,,,,,,,,,,0.010398,0.010305,0.010755,0.010709,0.010535
